country_code,indicator_code_0,indicator_code_1,slope,intercept,r_value,p_value,std_err
PHL,SE.XPD.CTER.ZS,SE.XPD.CPRM.ZS,0.27606716605448384,68.47877120282845,0.4661039153255739,0.17452838019087125,0.18526686696742653
PHL,SE.XPD.CTER.ZS,SE.XPD.CSEC.ZS,0.5560524057217523,41.25612929063322,0.841724568432093,0.002257712402768166,0.12610137464264648
PHL,SE.XPD.CTER.ZS,SE.XPD.CTER.ZS,1.0,0.0,1.0,4.375000000000076e-80,0.0
PHL,SE.XPD.CTER.ZS,SE.XPD.CTOT.ZS,0.4452874135369098,51.93719444872074,0.7037196862971886,0.023143435659488454,0.1589447524854268
PHL,SE.XPD.CTER.ZS,SI.DST.10TH.10,0.0773160039549298,26.41763098271983,0.20779557942390395,0.5645710474170069,0.128677747636345
PHL,SE.XPD.CTER.ZS,SI.DST.05TH.20,0.0870719691876747,41.51275767785543,0.22488386144941264,0.5321991684236935,0.13338467318234595
PHL,SE.XPD.CTER.ZS,SI.DST.FRST.10,-0.013142862625538248,3.719482268924815,-0.2581960461337247,0.47136673797838546,0.017386578171483445
PHL,SE.XPD.CTER.ZS,SI.DST.FRST.20,-0.02345862677696799,8.162851157217272,-0.2196444321645344,0.5420442912681893,0.03683835926789553
PHL,SE.XPD.CTER.ZS,SI.POV.GAPS,-0.09693797417504246,13.619434691455858,-0.18321782286887348,0.6123961914759757,0.18389363837007472
PHL,SE.XPD.CTOT.ZS,BN.KLT.DINV.CD,2343947.9560877094,185245501.91390112,0.006170274110841941,0.9865030392504627,134304401.5156192
PHL,SE.XPD.CTOT.ZS,BX.GSR.GNFS.CD,-1292668235.5252073,174296789253.64993,-0.31433809051310696,0.376394355096187,1380236893.9625292
PHL,SE.XPD.CTOT.ZS,BM.GSR.GNFS.CD,-880522851.6929542,146676874640.73276,-0.19612784968908265,0.5870960432107457,1556462507.5933766
PHL,SE.XPD.CTOT.ZS,SE.SEC.PROG.ZS,-0.27980858557013727,122.9647504026006,-0.2836350326149852,0.42709978177316765,0.334459951185696
PHL,SE.XPD.CTOT.ZS,SE.XPD.MPRM.ZS,2.0084316340225374,-102.5551801886382,0.8606965037632945,0.0013877663612851022,0.42003047347354233
PHL,SE.XPD.CTOT.ZS,SE.XPD.MSEC.ZS,1.8105259581185702,-90.94596089257973,0.7910461894195777,0.006425619799181107,0.49503563235673537
PHL,SE.XPD.CTOT.ZS,SE.XPD.MTER.ZS,1.6661571495208565,-81.22129965991459,0.8467306582486391,0.0019980278042342364,0.370130699780471
PHL,SE.XPD.CTOT.ZS,SE.XPD.CPRM.ZS,0.8780455773048316,12.099258079205867,0.9380495357760555,5.977216416710749e-05,0.11467031684931767
PHL,SE.XPD.CTOT.ZS,SE.XPD.CSEC.ZS,0.9370633947303488,5.602814686761306,0.8975609958749815,0.0004250380501231125,0.16273859196022958
PHL,SE.XPD.CTOT.ZS,SE.XPD.CTER.ZS,1.1121387711111774,-10.425357502321006,0.7037196862971886,0.023143435659488454,0.3969764613368316
PHL,SE.XPD.CTOT.ZS,SE.XPD.CTOT.ZS,1.0,0.0,1.0,4.375000000000076e-80,0.0
PHL,SE.XPD.CTOT.ZS,SI.DST.10TH.10,0.09746334931511225,24.53623274056483,0.16574825146742722,0.6472234011204021,0.2050209926167716
PHL,SE.XPD.CTOT.ZS,SI.DST.05TH.20,0.09302865077639698,40.96173903299045,0.15203282481376923,0.6750092332851765,0.2138239318583
PHL,SE.XPD.CTOT.ZS,SI.DST.FRST.10,-0.016991383599575804,4.078997007464335,-0.21121710354230083,0.5580294140168928,0.02779997519161855
PHL,SE.XPD.CTOT.ZS,SI.DST.FRST.20,-0.027545117567513263,8.543822478684383,-0.16319353968635888,0.6523704700905435,0.05887557713330132
PHL,SE.XPD.CTOT.ZS,SI.POV.GAPS,-0.1634703583331757,19.845252484702623,-0.19550303889762546,0.5883115466885112,0.28991991911731535
PHL,SE.XPD.TOTL.GD.ZS,SE.XPD.TOTL.GD.ZS,1.0,0.0,1.0,5.02734375000008e-159,0.0
